Observed_arrival,Observed_returning
0,0
0,0
0,0.017
0,0.017
0,0.017
0,0.017
0,0.017
0.017,0.033
0.017,0.05
0.017,0.05
0.017,0.05
0.017,0.05
0.017,0.05
0.017,0.067
0.017,0.067
0.017,0.083
0.017,0.083
0.017,0.1
0.017,0.1
0.017,0.1
0.017,0.1
0.017,0.1
0.017,0.1
0.017,0.117
0.033,0.133
0.033,0.133
0.033,0.133
0.033,0.15
0.033,0.15
0.033,0.15
0.05,0.15
0.05,0.15
0.05,0.167
0.05,0.167
0.05,0.167
0.05,0.167
0.05,0.167
0.05,0.167
0.05,0.183
0.05,0.183
0.05,0.183
0.05,0.2
0.067,0.2
0.067,0.233
0.067,0.233
0.067,0.25
0.067,0.25
0.067,0.25
0.067,0.25
0.083,0.25
0.083,0.25
0.083,0.267
0.083,0.267
0.083,0.267
0.083,0.283
0.1,0.283
0.1,0.283
0.1,0.283
0.1,0.3
0.1,0.3
0.1,0.3
0.117,0.3
0.117,0.317
0.117,0.317
0.133,0.317
0.133,0.333
0.133,0.333
0.133,0.333
0.133,0.333
0.133,0.35
0.133,0.35
0.133,0.367
0.133,0.367
0.15,0.367
0.15,0.367
0.15,0.383
0.15,0.383
0.15,0.383
0.167,0.4
0.167,0.4
0.167,0.4
0.167,0.4
0.167,0.4
0.183,0.417
0.183,0.417
0.183,0.417
0.183,0.433
0.2,0.433
0.2,0.433
0.2,0.433
0.2,0.433
0.217,0.433
0.217,0.433
0.217,0.45
0.217,0.45
0.217,0.467
0.217,0.467
0.217,0.467
0.233,0.467
0.233,0.467
0.233,0.5
0.233,0.5
0.233,0.517
0.25,0.517
0.25,0.517
0.25,0.517
0.267,0.517
0.267,0.517
0.283,0.517
0.283,0.533
0.3,0.533
0.3,0.533
0.3,0.55
0.317,0.567
0.317,0.583
0.333,0.583
0.333,0.583
0.333,0.6
0.333,0.6
0.333,0.6
0.333,0.6
0.333,0.617
0.333,0.617
0.333,0.617
0.333,0.633
0.35,0.633
0.35,0.65
0.35,0.65
0.367,0.667
0.367,0.667
0.367,0.667
0.383,0.667
0.383,0.683
0.383,0.683
0.383,0.7
0.4,0.7
0.4,0.7
0.4,0.733
0.4,0.75
0.4,0.75
0.417,0.75
0.417,0.767
0.417,0.767
0.417,0.8
0.433,0.817
0.433,0.817
0.433,0.85
0.433,0.867
0.45,0.867
0.45,0.9
0.45,0.917
0.45,0.917
0.467,0.95
0.467,0.967
0.483,1
0.5,1
0.5,1
0.517,1.017
0.517,1.017
0.517,1.067
0.533,1.067
0.533,1.117
0.533,1.15
0.533,1.15
0.533,1.15
0.533,1.167
0.55,1.183
0.55,1.183
0.55,1.183
0.55,1.2
0.55,1.217
0.567,1.217
0.583,1.267
0.583,1.283
0.583,1.283
0.6,1.317
0.6,1.317
0.617,1.333
0.617,1.4
0.617,1.4
0.617,1.417
0.617,1.467
0.617,1.5
0.617,1.55
0.633,1.583
0.633,1.583
0.633,1.6
0.633,1.617
0.65,1.617
0.65,1.633
0.65,1.667
0.65,1.683
0.667,1.717
0.683,1.767
0.683,1.767
0.683,1.8
0.683,1.817
0.683,1.85
0.683,1.85
0.717,2.167
0.733,2.283
0.733,2.333
0.733,2.35
0.75,3.1
0.75,3.167
0.767,3.2
0.767,3.5
0.767,3.717
0.767,3.983
0.783,5.417
0.8,6.833
0.817,7.233
0.817,7.633
0.817,
0.817,
0.833,
0.833,
0.85,
0.9,
0.917,
0.933,
0.933,
0.933,
0.933,
0.933,
0.95,
0.95,
0.967,
0.983,
1.017,
1.067,
1.083,
1.083,
1.083,
1.1,
1.117,
1.117,
1.167,
1.183,
1.183,
1.183,
1.217,
1.233,
1.233,
1.233,
1.233,
1.267,
1.3,
1.3,
1.317,
1.333,
1.35,
1.35,
1.35,
1.417,
1.45,
1.467,
1.483,
1.483,
1.5,
1.533,
1.55,
1.55,
1.6,
1.6,
1.617,
1.683,
1.7,
1.733,
1.967,
2.083,
2.117,
2.133,
2.25,
2.317,
2.533,
2.9,
3.317,
4.033,
4.15,
4.65,
5.617,
6.033,
